date,open,high,low,close,volume
1999-11-01,80.0,80.69,77.37,77.62,2487300
1999-11-02,78.0,81.69,77.31,80.25,3564600
1999-11-03,81.62,83.25,81.0,81.5,2932700
1999-11-04,82.06,85.37,80.62,83.62,3384700
1999-11-05,84.62,88.37,84.0,88.31,3721500
1999-11-08,87.75,97.73,86.75,96.37,8490400
1999-11-09,94.37,94.5,88.0,89.62,7224800
1999-11-10,88.25,93.25,88.12,91.44,5159800
1999-11-11,91.59,92.62,89.87,92.25,2409600
1999-11-12,91.94,92.0,87.37,90.62,2491600
